test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
women-portrait-blue,5,2.388619,r,8,False,dominant,1481163
boy,2,1.423605,b,64,True,ausgeglichen,1667838
women-portrait-blue,3,2.363167,b,64,True,dominant,1379057
colorful-flowers,3,8.009614,b,2,True,bunt,1948480
sunflower,4,1.51189,r,2,True,dominant,1794731
chameleon,3,1.308238,b,16,False,dominant,1577943
women-portrait,3,8.307978,g,2,False,dominant,1686824
women-portrait,1,1.066654,r,64,True,dominant,1388210
parrot-1,4,1.15347,b,2,False,dominant,1474967
chameleon,4,1.891989,r,2,False,dominant,1774469
sunflower,4,1.252561,b,16,False,dominant,1577758
protrait-man,1,1.057934,r,64,False,ausgeglichen,929575
protrait-man,4,1.181766,g,2,False,ausgeglichen,1120786
colorful-flowers,3,1.645819,g,8,True,bunt,1865947
parrot-1,1,0.998548,r,64,True,dominant,1248183
parrot-1,4,1.14209,r,16,True,dominant,1328697
landscape-mountains-1,3,3.472502,b,32,True,bunt,1719559
landscape-mountains-1,4,1.037423,r,8,False,bunt,1825728
protrait-man,2,2.360408,r,32,False,ausgeglichen,955805
boy,2,6.238457,n,0,False,ausgeglichen,3613333
landscape-mountains-1,1,2.754628,g,64,True,bunt,1693941
sunflower,2,1.695058,r,64,True,dominant,1521414
buildings-1,3,1.132275,r,2,True,bunt,1730820
chameleon,4,1.087334,r,8,False,dominant,1656610
buildings-1,2,1.538462,r,64,True,bunt,1462046
protrait-man,5,1.449223,r,16,False,ausgeglichen,995100
buildings-1,2,1.295405,g,32,False,bunt,1540870
sunflower,4,2.658112,n,0,False,dominant,3615358
women-portrait-blue,5,1.363055,r,2,False,dominant,1596626
parrot-1,4,1.066543,n,0,False,dominant,3613869
protrait-man,2,1.52883,b,64,False,ausgeglichen,917447
parrot-1,3,2.371017,r,8,True,dominant,1378776
boy,2,54.227101,r,16,True,ausgeglichen,1792184
buildings-1,1,1.224923,g,64,False,bunt,1504452
protrait-man,4,1.446766,r,2,False,ausgeglichen,1102650
sunflower,5,2.384295,g,8,True,dominant,1692156
buildings-1,4,1.211455,g,2,False,bunt,1742597
women-portrait,4,3.97246,b,2,False,dominant,1673259
parrot-1,3,0.892014,b,32,False,dominant,1279196
women-portrait-blue,5,0.914704,b,2,True,dominant,1622899
sunflower,4,0.785822,r,8,True,dominant,1677477
landscape-mountains-1,4,0.864587,g,16,True,bunt,1802081
colorful-flowers,4,1.796747,b,8,True,bunt,1773313
buildings-1,3,1.749,b,2,True,bunt,1732860
sunflower,4,1.200014,g,2,True,dominant,1799423
boy,2,1.141944,r,32,True,ausgeglichen,1724988
colorful-flowers,4,1.403313,g,16,True,bunt,1806067
chameleon,3,1.168386,b,2,False,dominant,1770933
women-portrait-blue,4,1.176714,b,8,True,dominant,1517539
sunflower,4,2.072937,g,16,True,dominant,1630932
women-portrait,1,1.018105,g,64,False,dominant,1434450
buildings-1,4,1.872676,b,16,True,bunt,1568876
landscape-mountains-1,5,1.202785,b,16,True,bunt,1782109
protrait-man,2,1.199047,g,16,False,ausgeglichen,1021255
landscape-mountains-1,1,1.327375,b,64,True,bunt,1666004
chameleon,3,1.270156,b,64,False,dominant,1484135
landscape-mountains-1,4,1.925223,b,2,True,bunt,1966749
buildings-1,4,3.959236,g,8,False,bunt,1639884
protrait-man,4,3.67438,b,2,False,ausgeglichen,1098420
colorful-flowers,3,2.844022,r,8,True,bunt,1858237
chameleon,3,6.474576,b,32,False,dominant,1526202
buildings-1,3,1.443708,g,16,False,bunt,1586216
women-portrait,4,2.335072,g,8,False,dominant,1593928
women-portrait,4,1.125091,r,16,True,dominant,1489510
women-portrait-blue,5,1.088465,g,8,False,dominant,1533223
colorful-flowers,3,2.570365,g,32,True,bunt,1745745
sunflower,5,2.191799,b,2,False,dominant,1782336
boy,4,3.974983,g,2,False,ausgeglichen,1986269
landscape-mountains-1,5,1.403478,n,0,False,bunt,3612553
landscape-mountains-1,4,1.069458,r,16,False,bunt,1760551
buildings-1,3,1.520733,n,0,False,bunt,3614372
